"","method","variable","value","diff"
"1","true","Democrat"," 0.3879"," 0.0000"
"2","hd.ord","Democrat"," 0.3882"," 0.0003"
"3","hot.deck","Democrat"," 0.3881"," 0.0002"
"4","amelia","Democrat"," 0.3881"," 0.0002"
"5","mice","Democrat"," 0.3880"," 0.0001"
"6","na.omit","Democrat"," 0.3662","-0.0217"
"7","true","Male"," 0.4576"," 0.0000"
"8","hd.ord","Male"," 0.4575","-0.0001"
"9","hot.deck","Male"," 0.4576"," 0.0000"
"10","amelia","Male"," 0.4577"," 0.0001"
"11","mice","Male"," 0.4576"," 0.0000"
"12","na.omit","Male"," 0.4242","-0.0334"
"13","true","Employed"," 0.5612"," 0.0000"
"14","hd.ord","Employed"," 0.5625"," 0.0013"
"15","hot.deck","Employed"," 0.5625"," 0.0013"
"16","amelia","Employed"," 0.5614"," 0.0002"
"17","mice","Employed"," 0.5612"," 0.0000"
"18","na.omit","Employed"," 0.5335","-0.0277"
"19","true","Income"," 3.5537"," 0.0000"
"20","hd.ord","Income"," 3.5500","-0.0037"
"21","hot.deck","Income"," 3.5456","-0.0081"
"22","amelia","Income"," 3.5537"," 0.0000"
"23","mice","Income"," 3.5536","-0.0001"
"24","na.omit","Income"," 3.4036","-0.1501"
"25","true","Age","46.3475"," 0.0000"
"26","hd.ord","Age","46.2369","-0.1106"
"27","hot.deck","Age","46.1843","-0.1632"
"28","amelia","Age","46.3456","-0.0019"
"29","mice","Age","46.3407","-0.0068"
"30","na.omit","Age","46.2585","-0.0890"
"31","true","Student"," 0.0386"," 0.0000"
"32","hd.ord","Student"," 0.0385","-0.0001"
"33","hot.deck","Student"," 0.0386"," 0.0000"
"34","amelia","Student"," 0.0387"," 0.0001"
"35","mice","Student"," 0.0386"," 0.0000"
"36","na.omit","Student"," 0.0317","-0.0069"
"37","true","Conservative"," 0.3908"," 0.0000"
"38","hd.ord","Conservative"," 0.3909"," 0.0001"
"39","hot.deck","Conservative"," 0.3906","-0.0002"
"40","amelia","Conservative"," 0.3908"," 0.0000"
"41","mice","Conservative"," 0.3906","-0.0002"
"42","na.omit","Conservative"," 0.3731","-0.0177"
"43","true","Black"," 0.1158"," 0.0000"
"44","hd.ord","Black"," 0.1162"," 0.0004"
"45","hot.deck","Black"," 0.1163"," 0.0005"
"46","amelia","Black"," 0.1158"," 0.0000"
"47","mice","Black"," 0.1159"," 0.0001"
"48","na.omit","Black"," 0.1064","-0.0094"
"49","true","Hisp"," 0.0895"," 0.0000"
"50","hd.ord","Hisp"," 0.0899"," 0.0004"
"51","hot.deck","Hisp"," 0.0898"," 0.0003"
"52","amelia","Hisp"," 0.0895"," 0.0000"
"53","mice","Hisp"," 0.0894","-0.0001"
"54","na.omit","Hisp"," 0.0769","-0.0126"
"55","true","Asian"," 0.0810"," 0.0000"
"56","hd.ord","Asian"," 0.0811"," 0.0001"
"57","hot.deck","Asian"," 0.0810"," 0.0000"
"58","amelia","Asian"," 0.0811"," 0.0001"
"59","mice","Asian"," 0.0810"," 0.0000"
"60","na.omit","Asian"," 0.0645","-0.0165"
